2016-01-04,5.8083
2016-01-05,5.8779
2016-01-07,5.8430
2016-01-08,5.8449
2016-01-11,5.8402
2016-01-12,5.8223
2016-01-13,5.7963
2016-01-14,5.7492
2016-01-15,5.8085
2016-01-18,5.8800
2016-01-19,5.8555
2016-01-20,5.7980
2016-01-21,5.8581
2016-01-22,5.8608
2016-01-25,5.8955
2016-01-26,5.8958
2016-01-27,5.8855
2016-01-28,5.8507
2016-01-29,5.8443
2016-02-01,5.7868
2016-02-02,5.7918
2016-02-03,5.8291
2016-02-04,5.7822
2016-02-05,5.7326
2016-02-08,5.7338
2016-02-09,5.7425
2016-02-10,5.7095
2016-02-11,5.6707
2016-02-12,5.6825
2016-02-15,5.6774
2016-02-16,5.6979
2016-02-17,5.6455
2016-02-18,5.6364
2016-02-19,5.6504
2016-02-22,5.5861
2016-02-23,5.6025
2016-02-24,5.5486
2016-02-25,5.5324
2016-02-26,5.5475
2016-02-29,5.5376
2016-03-01,5.5710
2016-03-02,5.5505
2016-03-03,5.6045
2016-03-04,5.5894
2016-03-07,5.5911
2016-03-08,5.5986
2016-03-09,5.6065
2016-03-10,5.5869
2016-03-11,5.5543
2016-03-14,5.5307
2016-03-15,5.4738
2016-03-16,5.4703
2016-03-17,5.4355
2016-03-18,5.4708
2016-03-21,5.4511
2016-03-22,5.4307
2016-03-23,5.3877
2016-03-24,5.3872
2016-03-25,5.4030
2016-03-29,5.4216
2016-03-30,5.3974
2016-03-31,5.4078
2016-04-01,5.3260
2016-04-04,5.2871
2016-04-05,5.3145
2016-04-06,5.2933
2016-04-07,5.2704
2016-04-08,5.3190
2016-04-11,5.3362
2016-04-12,5.3587
2016-04-13,5.3654
2016-04-14,5.4003
2016-04-15,5.4071
2016-04-18,5.3945
2016-04-19,5.4302
2016-04-20,5.4394
2016-04-21,5.4357
2016-04-22,5.5078
2016-04-25,5.6220
2016-04-26,5.6746
2016-04-27,5.6617
2016-04-28,5.6504
2016-04-29,5.6496
2016-05-02,5.5814
2016-05-04,5.5465
2016-05-05,5.5802
2016-05-06,5.6116
2016-05-09,5.5901
2016-05-10,5.6130
2016-05-11,5.6012
2016-05-12,5.6030
2016-05-13,5.5890
2016-05-16,5.5449
2016-05-17,5.5725
2016-05-18,5.6243
2016-05-19,5.7359
2016-05-20,5.7355
2016-05-23,5.7449
2016-05-24,5.7821
2016-05-25,5.8139
2016-05-27,5.7738
2016-05-30,5.7610
2016-05-31,5.7469
2016-06-01,5.6903
2016-06-02,5.6614
2016-06-03,5.6867
2016-06-06,5.5713
2016-06-07,5.5923
2016-06-08,5.5448
2016-06-09,5.5174
2016-06-10,5.5662
2016-06-13,5.5109
2016-06-14,5.5820
2016-06-15,5.5864
2016-06-16,5.5920
2016-06-17,5.6352
2016-06-20,5.6736
2016-06-21,5.7200
2016-06-22,5.7080
2016-06-23,5.7028
2016-06-24,5.5644
2016-06-27,5.3638
2016-06-28,5.3226
2016-06-29,5.3441
2016-06-30,5.3655
2016-07-01,5.2616
2016-07-04,5.2847
2016-07-05,5.2465
2016-07-06,5.2038
2016-07-07,5.1995
2016-07-08,5.1734
2016-07-11,5.1504
2016-07-12,5.2339
2016-07-13,5.2771
2016-07-14,5.2455
2016-07-15,5.3142
2016-07-18,5.2882
2016-07-19,5.2227
2016-07-20,5.2332
2016-07-21,5.2374
2016-07-22,5.2066
2016-07-25,5.2222
2016-07-26,5.2066
2016-07-27,5.2074
2016-07-28,5.1937
2016-07-29,5.1774
